,Patronage by mode,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"• Patronage counts include HOP, contactless payments, special events, group travel on trains, and train line-to-line transfers.",,,,,,,,,,,,,,,
,"• Patronage counts include manual counts from rail and ferry replacement services, and from data loss adjustmnents.",,,,,,,,,,,,,,,
,• Ferry patronage counts are sourced from operator key factor reports.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Month,Bus,Train,Ferry,Grand Total,,,,,,,,,,,,
May 2025," 6,695,392 "," 1,346,698 "," 383,346 "," 8,425,436 ",,,,,,,,,,,,
Apr 2025," 5,470,314 "," 862,170 "," 368,483 "," 6,700,967 ",,,,,,,,,,,,
Mar 2025," 7,165,127 "," 1,514,283 "," 506,794 "," 9,186,204 ",,,,,,,,,,,,
Feb 2025," 5,889,382 "," 1,168,569 "," 477,848 "," 7,535,799 ",,,,,,,,,,,,
Jan 2025," 4,711,802 "," 377,451 "," 525,333 "," 5,614,586 ",,,,,,,,,,,,
Dec 2024," 4,733,781 "," 937,302 "," 502,264 "," 6,173,347 ",,,,,,,,,,,,
Nov 2024," 5,889,355 "," 1,400,345 "," 449,706 "," 7,739,406 ",,,,,,,,,,,,
Oct 2024," 5,900,213 "," 1,266,375 "," 396,368 "," 7,562,956 ",,,,,,,,,,,,
Sep 2024," 6,001,019 "," 1,203,681 "," 336,895 "," 7,541,595 ",,,,,,,,,,,,
Aug 2024," 6,416,936 "," 1,340,389 "," 335,642 "," 8,092,967 ",,,,,,,,,,,,
Jul 2024," 5,786,339 "," 1,253,424 "," 340,250 "," 7,380,013 ",,,,,,,,,,,,
